IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,速度(MB/s)
192.9.177.204,443,TRUE,SYD,大洋洲,悉尼,164 ms,9247 kB/s,9.03
138.128.205.251,2443,TRUE,LAX,北美洲,洛杉矶,174 ms,9207 kB/s,8.99
47.242.171.94,80,FALSE,HKG,亚太,香港,42 ms,9139 kB/s,8.92
8.210.55.134,8443,TRUE,HKG,亚太,香港,46 ms,9118 kB/s,8.9
47.243.27.217,2096,TRUE,HKG,亚太,香港,49 ms,9084 kB/s,8.87
104.18.96.50,2052,FALSE,SJC,北美洲,圣何塞,188 ms,9063 kB/s,8.85
199.19.106.195,24125,TRUE,LAX,北美洲,洛杉矶,172 ms,9058 kB/s,8.85
104.17.157.222,443,TRUE,HKG,亚太,香港,36 ms,9008 kB/s,8.8
104.17.240.50,2052,FALSE,SJC,北美洲,圣何塞,161 ms,8977 kB/s,8.77
211.198.59.204,39314,TRUE,ICN,亚太,首尔,81 ms,8956 kB/s,8.75
47.243.179.249,8880,FALSE,HKG,亚太,香港,39 ms,8955 kB/s,8.75
18.130.249.35,2096,TRUE,LHR,欧洲,伦敦,175 ms,8941 kB/s,8.73
172.64.159.50,2052,FALSE,HKG,亚太,香港,35 ms,8902 kB/s,8.69
45.139.193.145,51591,TRUE,SJC,北美洲,圣何塞,132 ms,8896 kB/s,8.69
34.154.255.210,443,TRUE,FRA,欧洲,法兰克福,230 ms,8889 kB/s,8.68
104.22.0.50,2052,FALSE,SJC,北美洲,圣何塞,160 ms,8888 kB/s,8.68
18.130.71.19,443,TRUE,LHR,欧洲,伦敦,233 ms,8876 kB/s,8.67
8.210.55.134,2082,FALSE,HKG,亚太,香港,38 ms,8775 kB/s,8.57
130.162.142.158,34237,TRUE,ICN,亚太,首尔,54 ms,8771 kB/s,8.57
142.171.174.14,12468,TRUE,LAX,北美洲,洛杉矶,198 ms,8721 kB/s,8.52
54.78.247.14,2053,TRUE,DUB,欧洲,都柏林,184 ms,8642 kB/s,8.44
8.218.136.25,2052,FALSE,HKG,亚太,香港,40 ms,8544 kB/s,8.34
34.80.142.93,443,TRUE,TPE,亚太,台北,185 ms,8531 kB/s,8.33
103.20.223.16,55044,TRUE,SEA,北美洲,西雅图,48 ms,8506 kB/s,8.31
154.9.237.213,20001,TRUE,LAX,北美洲,洛杉矶,163 ms,8455 kB/s,8.26
146.56.136.49,61153,TRUE,NRT,亚太,东京,52 ms,8425 kB/s,8.23
175.114.80.127,10332,TRUE,ICN,亚太,首尔,88 ms,8421 kB/s,8.22
104.17.192.50,2052,FALSE,SJC,北美洲,圣何塞,159 ms,8414 kB/s,8.22
13.57.182.91,443,TRUE,SJC,北美洲,圣何塞,193 ms,8387 kB/s,8.19
104.19.0.50,2052,FALSE,SJC,北美洲,圣何塞,184 ms,8381 kB/s,8.18
58.141.125.141,30053,TRUE,ICN,亚太,首尔,76 ms,8323 kB/s,8.13
59.191.137.228,32414,TRUE,NRT,亚太,东京,50 ms,8294 kB/s,8.1
104.19.128.50,2052,FALSE,SJC,北美洲,圣何塞,192 ms,8229 kB/s,8.04
104.20.208.50,2052,FALSE,SJC,北美洲,圣何塞,191 ms,8164 kB/s,7.97
162.159.8.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,8139 kB/s,7.95
104.20.0.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,8137 kB/s,7.95
8.218.11.90,8880,FALSE,HKG,亚太,香港,40 ms,8102 kB/s,7.91
8.210.55.134,2083,TRUE,HKG,亚太,香港,41 ms,8077 kB/s,7.89
104.17.16.126,443,TRUE,HKG,亚太,香港,36 ms,8052 kB/s,7.86
45.78.4.109,10443,TRUE,LAX,北美洲,洛杉矶,193 ms,8015 kB/s,7.83
104.17.172.220,443,TRUE,HKG,亚太,香港,34 ms,8013 kB/s,7.83
183.104.40.186,10200,TRUE,ICN,亚太,首尔,94 ms,7989 kB/s,7.8
35.177.209.223,443,TRUE,LHR,欧洲,伦敦,207 ms,7954 kB/s,7.77
8.218.156.91,2083,TRUE,HKG,亚太,香港,40 ms,7928 kB/s,7.74
20.170.41.153,443,TRUE,FRA,欧洲,法兰克福,267 ms,7874 kB/s,7.69
37.123.193.101,17473,TRUE,SJC,北美洲,圣何塞,153 ms,7839 kB/s,7.66
158.180.230.155,2095,TRUE,MRS,欧洲,马赛,241 ms,7679 kB/s,7.5
58.124.143.215,31839,TRUE,NRT,亚太,东京,122 ms,7549 kB/s,7.37
51.107.6.138,8443,TRUE,MXP,欧洲,米兰,260 ms,7450 kB/s,7.28
104.17.167.18,443,TRUE,HKG,亚太,香港,36 ms,7418 kB/s,7.24
104.19.240.50,2052,FALSE,SJC,北美洲,圣何塞,190 ms,7409 kB/s,7.24
104.18.41.50,2052,FALSE,LAX,北美洲,洛杉矶,209 ms,7393 kB/s,7.22
222.108.215.96,11180,TRUE,ICN,亚太,首尔,113 ms,7392 kB/s,7.22
34.65.206.96,443,TRUE,FRA,欧洲,法兰克福,225 ms,7367 kB/s,7.19
65.49.216.153,2443,TRUE,LAX,北美洲,洛杉矶,196 ms,7343 kB/s,7.17
104.21.112.50,2052,FALSE,SJC,北美洲,圣何塞,192 ms,7319 kB/s,7.15
35.197.23.75,443,TRUE,SEA,北美洲,西雅图,188 ms,7299 kB/s,7.13
